SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
MRK,USA,0,2025-10-30,,,,3.23,5.122,0.000,"8,053",20.39%,30.21%  (  -0.68%),35.80%,"754,569",8,4,4,75,Drug Manufacturers - General,
LLY,USA,0,2025-10-30,,,,13.35,5.761,0.000,"25,455",27.02%,29.40%  (  +0.40%),10.69%,"475,234",9,5,5,85,Drug Manufacturers - General,
DUK,USA,0,2025-10-30,,,,2.99,3.386,0.000,938,12.23%,17.87%  (  -0.04%),15.39%,"144,008",7,4,4,85,Utilities - Regulated Electric,
IONS,USA,0,2025-10-30,,,,10.31,10.045,0.000,"3,783",90.01%,44.91%  (  +3.20%),32.65%,"60,366",10,4,5,90,Biotechnology,
KTOS,USA,0,2025-10-30,,,,11.15,11.268,0.000,"5,814",48.21%,63.27%  (  -0.84%),64.38%,"106,007",10,5,5,85,Aerospace & Defense,
INOD,USA,0,2025-10-30,,,,10.15,22.329,0.000,"2,704",73.46%,91.09%  (  +1.69%),31.91%,"70,075",9,5,5,92,Information Technology Services,
COP,USA,0,2025-10-30,,,,2.00,3.057,0.000,"4,405",24.22%,29.21%  (  +0.10%),17.02%,"345,247",10,5,5,85,Oil & Gas E&P,
XYZ,USA,0,2025-10-30,,,,1.96,10.122,0.000,"7,478",34.68%,40.49%  (  +0.30%),8.45%,"729,315",7,4,4,80,Software - Infrastructure,
GEO,USA,0,2025-10-30,,,,1.27,9.503,0.000,"1,858",39.27%,60.08%  (  -1.46%),17.29%,"466,746",5,5,4,80,Security & Protection Services,
BLDR,USA,0,2025-10-30,,,,0.87,9.089,0.000,"2,228",52.66%,47.35%  (  -0.26%),28.41%,"58,674",8,4,4,58,Building Products & Equipment,
LNG,USA,0,2025-10-30,,,,2.80,4.095,0.000,766,14.99%,26.12%  (  -0.32%),19.97%,"81,877",10,5,5,80,Oil & Gas Midstream,
CTRA,USA,0,2025-10-30,,,,2.78,4.628,0.000,"15,376",19.77%,27.98%  (  +0.74%),24.79%,"135,263",9,5,5,80,Oil & Gas E&P,
MCHP,USA,0,2025-10-30,,,,8.19,7.493,0.000,"2,812",36.96%,44.25%  (  +0.63%),19.39%,"275,849",10,4,4,70,Semiconductors,
EOG,USA,0,2025-10-30,,,,2.80,3.419,0.000,"1,486",23.48%,30.01%  (  +1.04%),27.00%,"166,535",7,4,4,85,Oil & Gas E&P,
CROX,USA,0,2025-10-30,,,,1.06,10.629,0.000,"2,738",38.03%,41.86%  (  -0.43%),11.82%,"112,506",5,4,4,78,Footwear & Accessories,
LYV,USA,0,2025-10-30,,,,1.59,7.144,0.000,"2,839",21.99%,29.84%  (  +0.08%),15.29%,"142,083",9,5,5,85,Entertainment,
TTE,USA,0,2025-10-30,,,,0.71,3.443,0.000,"2,544",15.33%,21.53%  (  -0.26%),14.20%,"81,456",6,4,4,0,Oil & Gas Integrated,
RCL,Liberia,0,2025-10-30,,,,5.05,6.247,0.000,"2,000",34.22%,38.73%  (  +0.38%),23.05%,"129,621",7,5,5,85,Travel Services,
PENN,USA,0,2025-10-30,,,,0.41,8.946,0.000,"1,171",27.81%,42.49%  (  -0.12%),9.67%,"219,541",9,4,4,0,Resorts & Casinos,
UBER,USA,0,2025-10-30,,,,4.29,7.484,0.000,"84,789",30.30%,35.24%  (  +0.44%),14.88%,"1,691,679",7,5,5,90,Software - Application,
SBUX,USA,0,2025-10-30,,,,2.62,6.633,0.000,"26,142",22.83%,29.59%  (  -0.84%),18.79%,"711,832",6,4,4,70,Restaurants,
NBIS,Netherlands,0,2025-10-30,,,,96.72,7.994,0.000,"30,947",126.91%,74.56%  (  -0.65%),14.13%,"663,050",9,4,5,90,Software - Infrastructure,
AES,USA,0,2025-10-30,,,,0.76,9.923,0.000,"2,193",26.32%,47.30%  (  +1.26%),39.14%,"429,132",9,5,5,80,Utilities - Diversified,
PTON,USA,0,2025-10-30,,,,1.35,17.938,0.000,"23,591",60.68%,79.47%  (  +11.59%),22.78%,"639,343",9,4,4,85,Leisure,
BILL,USA,0,2025-10-30,,,,3.66,14.099,0.000,915,65.11%,42.75%  (  +0.50%),9.31%,"182,246",5,4,4,80,Software - Application,
DDOG,USA,0,2025-10-30,,,,15.84,9.692,0.000,"4,490",37.10%,37.58%  (  -0.59%),16.73%,"381,826",7,5,5,80,Software - Application,
W,USA,0,2025-10-30,,,,0.98,14.178,0.000,"7,341",45.72%,56.20%  (  -0.35%),8.85%,"315,013",10,4,4,78,Internet Retail,
TWLO,USA,0,2025-10-30,,,,3.46,11.487,0.000,"1,993",75.72%,44.15%  (  +1.21%),26.95%,"130,970",6,4,5,75,Software - Infrastructure,
SYK,USA,0,2025-10-30,,,,6.11,5.839,0.000,509,17.01%,21.96%  (  +0.09%),15.31%,"31,993",7,5,5,88,Medical Devices,
HWM,USA,0,2025-10-30,,,,9.85,7.595,0.000,"1,685",24.12%,32.22%  (  -0.05%),19.18%,"65,830",10,5,5,90,Aerospace & Defense,
OWL,USA,0,2025-10-30,,,,11.30,8.609,0.000,"3,036",28.57%,31.66%  (  -0.33%),5.77%,"205,467",9,4,4,85,Asset Management,
CVNA,USA,0,2025-10-30,,,,5.06,12.853,0.000,"28,377",35.26%,49.58%  (  +0.09%),8.90%,"566,916",9,4,4,92,Auto & Truck Dealerships,
COIN,USA,0,2025-10-30,,,,10.39,7.716,0.000,"153,043",42.48%,55.88%  (  -1.30%),15.06%,"1,414,695",10,4,4,75,Financial Data & Stock Exchanges,
CL,USA,0,2025-10-31,,,,3.30,3.466,0.000,700,16.15%,20.63%  (  -0.15%),23.95%,"82,263",5,4,4,75,Household & Personal Products,
DBRG,USA,0,2025-10-31,,,,7.67,11.887,0.000,924,39.84%,37.18%  (  -5.00%),4.14%,"87,277",6,4,4,80,Asset Management,
DKNG,USA,0,2025-10-31,,,,7.13,9.794,0.000,"16,261",27.23%,40.35%  (  +0.79%),11.61%,"723,797",7,5,5,85,Gambling,
CAH,USA,0,2025-10-31,,,,0.16,4.664,0.000,"1,303",28.35%,23.14%  (  +0.25%),20.77%,"60,531",6,5,4,80,Medical Distribution,
FLR,USA,0,2025-10-31,,,,0.43,10.775,0.000,"12,884",34.32%,52.59%  (  +4.22%),43.47%,"190,901",6,4,4,60,Engineering & Construction,
WMB,USA,0,2025-11-03,,,,6.56,3.783,0.000,"1,038",15.38%,23.06%  (  -0.67%),13.84%,"138,433",6,5,5,85,Oil & Gas Midstream,
RIG,Switzerland,0,2025-11-03,,,,0.84,10.375,0.000,"5,876",45.63%,56.99%  (  -1.91%),8.50%,"847,870",5,4,4,75,Oil & Gas Drilling,
HOLX,USA,0,2025-11-03,,,,3.77,6.815,0.000,683,27.69%,40.64%  (  +3.08%),41.70%,"40,222",9,4,5,80,Medical Instruments & Supplies,
ON,USA,0,2025-11-03,,,,3.23,10.068,0.000,"4,373",35.73%,49.07%  (  -0.45%),18.83%,"360,107",7,4,4,70,Semiconductors,
RMBS,USA,0,2025-11-03,,,,17.05,12.901,0.000,"1,969",75.68%,56.88%  (  -3.09%),33.81%,"30,057",9,5,5,88,Semiconductors,
ANET,USA,0,2025-11-03,,,,23.34,9.272,0.000,"9,558",42.00%,43.39%  (  -0.27%),25.39%,"586,364",10,5,5,85,Computer Hardware,
AMKR,USA,0,2025-11-03,,,,1.12,11.183,0.000,"2,952",40.02%,44.54%  (  +0.12%),16.40%,"73,609",8,4,4,78,Semiconductor Equipment & Materials,
SEI,USA,0,2025-11-03,,,,5.72,17.723,0.000,836,77.64%,83.96%  (  -0.63%),39.52%,"59,318",8,5,5,70,Oil & Gas Equipment & Services,
11:22:32 AM,,,,,,,,,,,,,,,,,,,,
