SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
VST,USA,118.02,2025-05-07,47.20,11.42,-3.64%,2.07,8.910,16.944,"41,708",99.55%,74.02%  (  -30.68%),51.94%,"425,684",8,5,5,86
BG,Switzerland,74.29,2025-04-23,49.81,2.75,-16.13%,0.19,6.216,9.040,"1,040",37.07%,37.70%  (  -20.70%),46.86%,"54,498",5,4,4,62
JCI,Ireland,78.83,2025-05-07,48.46,3.60,2.18%,2.03,6.318,10.774,"21,577",49.61%,43.71%  (  -15.65%),62.26%,"85,516",5,4,4,85
DIS,USA,91.44,2025-05-07,41.04,4.03,-9.43%,1.80,7.050,9.595,"83,224",52.84%,44.72%  (  -12.71%),68.27%,"848,812",6,5,5,86
GXO,USA,35.53,2025-05-07,41.08,2.17,-27.27%,0.36,7.338,14.776,"2,733",59.07%,59.56%  (  -18.38%),66.19%,"42,994",10,4,5,75
PR,USA,11.88,2025-05-07,41.41,0.82,-17.62%,1.91,7.394,14.482,"4,074",81.27%,59.87%  (  -21.26%),62.22%,"120,729",7,5,5,85
APP,USA,274.96,2025-05-07,47.27,36.77,22.45%,19.85,14.752,27.525,"95,341",139.34%,120.73%  (  -20.19%),80.27%,"395,714",10,4,5,85
CTVA,USA,58.56,2025-05-07,43.60,2.26,0.36%,2.37,6.981,8.618,537,40.54%,37.19%  (  -12.69%),53.39%,"20,218",9,5,4,80
ARM,USA,106.59,2025-05-14,45.57,9.23,-23.79%,30.41,11.669,17.159,"68,399",95.67%,76.31%  (  -22.06%),59.91%,"783,385",7,4,5,75
CDE,USA,5.58,2025-05-07,47.58,0.48,-10.64%,3.44,15.020,20.778,"5,628",83.51%,80.26%  (  -14.45%),61.67%,"198,853",9,5,5,80
CART,USA,39.06,2025-05-14,45.23,2.21,-3.76%,3.06,11.946,0.000,"1,617",49.40%,52.17%  (  -12.36%),39.63%,"71,910",9,4,4,70
HL,USA,5.28,2025-05-14,46.88,0.38,-8.18%,3.59,6.211,0.000,"12,968",65.04%,63.35%  (  -1.62%),17.82%,"213,522",7,5,5,70
DAR,USA,30.16,2025-04-24,45.18,2.05,-17.65%,0.83,10.527,15.332,"1,517",53.89%,67.30%  (  -13.25%),74.32%,"62,865",9,5,5,78
JOBY,Cayman Islands,6.26,2025-05-06,49.90,0.50,-2.72%,35226.64,10.402,19.171,"8,153",77.34%,84.66%  (  -12.69%),55.72%,"249,096",7,4,4,60
FIS,USA,72.41,2025-05-05,49.43,2.58,-9.23%,3.79,6.237,9.632,"2,793",36.07%,45.43%  (  -7.64%),79.65%,"51,766",6,4,4,65
FOLD,USA,6.89,2025-05-08,21.94,0.39,-31.75%,4.01,9.191,24.050,968,39.64%,98.44%  (  +11.80%),61.54%,"18,334",4,4,4,85
LFST,USA,6.91,2025-05-08,49.36,0.30,0.77%,2.12,12.385,10.854,"1,542",36.57%,42.78%  (  -17.54%),26.27%,"28,933",6,5,5,78
COMP,USA,8.04,2025-05-14,41.28,0.60,26.48%,0.76,17.691,0.000,729,48.26%,86.91%  (  -17.26%),43.08%,"42,438",7,4,5,75
ACVA,USA,14.51,2025-05-14,47.15,1.20,-22.97%,3.84,12.547,0.000,"2,529",77.29%,70.75%  (  -21.85%),72.53%,"21,185",7,5,5,78
BXSL,USA,28.99,2025-05-14,35.57,1.22,-7.67%,4.98,5.157,0.000,628,41.80%,35.01%  (  -14.74%),53.98%,"10,463",8,4,5,82
COIN,USA,177.09,2025-05-01,44.79,17.01,-22.78%,6.22,9.268,15.925,"313,454",97.44%,80.23%  (  -15.88%),52.24%,"1,102,135",8,4,4,80
GENI,Guernsey,9.58,2025-05-14,49.63,0.73,17.71%,4.84,16.481,0.000,566,71.96%,73.71%  (  -9.22%),51.54%,"74,618",8,5,5,85
CPNG,USA,21.84,2025-05-06,46.82,1.14,-5.89%,1.30,8.796,11.130,"13,435",50.45%,58.47%  (  +0.97%),66.31%,"272,984",5,5,5,72
ALGM,USA,23.23,2025-05-08,45.83,2.08,-2.58%,5.54,11.914,21.847,"1,142",102.17%,78.52%  (  -12.80%),76.53%,"55,789",7,5,5,65
TTD,USA,54.12,2025-05-14,42.31,4.31,-47.39%,10.98,14.376,0.000,"60,150",87.61%,85.72%  (  -28.48%),66.75%,"629,278",7,5,4,72
TKO,USA,148.54,2025-05-14,49.18,7.38,12.48%,9.07,7.966,0.000,"2,451",48.96%,47.83%  (  -16.63%),60.34%,"71,423",10,5,5,85
NXT,USA,39.23,2025-05-13,39.43,2.52,-4.36%,2.06,15.801,0.000,"18,441",48.71%,74.19%  (  -14.29%),67.39%,"51,512",9,5,5,85
MARA,USA,12.31,2025-05-08,46.79,1.39,-31.37%,6.49,10.597,21.446,"299,104",113.67%,94.18%  (  -21.93%),24.94%,"1,732,864",9,4,4,75
RIOT,USA,7.38,2025-05-07,44.13,0.81,-25.12%,6.86,11.880,20.339,"117,869",93.53%,90.58%  (  -19.92%),30.40%,"1,217,792",7,5,5,80
COP,USA,91.51,2025-05-08,42.77,4.62,-12.96%,2.12,2.926,11.289,"24,127",60.51%,50.51%  (  -17.71%),63.88%,"360,177",9,5,5,85
PENN,USA,16.28,2025-05-08,46.41,1.24,-15.44%,0.38,10.162,17.483,"97,553",82.34%,74.60%  (  -16.36%),69.01%,"475,113",7,4,4,55
WBD,USA,9.26,2025-05-08,44.32,0.78,1.64%,0.58,10.089,15.071,"31,783",93.21%,66.81%  (  -16.58%),66.12%,"893,497",9,4,4,75
TPR,USA,67.28,2025-05-08,43.41,4.68,18.54%,2.06,6.561,12.812,"28,999",62.74%,55.44%  (  -21.37%),61.47%,"234,094",10,5,4,85
SG,USA,22.74,2025-05-08,45.10,2.12,-27.65%,3.94,21.272,23.463,"3,415",76.66%,91.79%  (  -23.65%),57.28%,"88,434",4,4,5,73
AFRM,USA,44.30,2025-05-08,45.19,5.22,-8.48%,5.06,14.975,24.956,"65,155",116.06%,106.55%  (  -25.36%),65.89%,"468,275",10,4,4,58
EXPE,USA,161.68,2025-05-08,46.75,10.22,0.61%,1.52,9.338,14.410,"4,273",71.12%,61.95%  (  -21.21%),65.19%,"82,101",7,4,4,82
CORZ,USA,7.51,2025-05-14,43.31,0.97,-37.16%,4.34,11.180,0.000,"33,761",122.73%,109.00%  (  -17.71%),62.75%,"1,279,006",8,5,5,60
SN,Cayman Islands,78.75,2025-05-08,43.44,7.59,-17.61%,2.00,11.952,18.982,"9,036",100.47%,74.44%  (  -26.65%),65.44%,"47,268",10,5,4,85
ACHR,USA,7.43,2025-05-08,48.22,0.80,24.00%,-,9.339,21.571,"54,653",103.57%,98.23%  (  -15.16%),51.00%,"679,771",9,5,4,60
XRAY,USA,13.66,2025-05-01,34.26,0.77,-36.06%,0.72,12.794,14.652,512,52.13%,58.56%  (  -4.83%),73.11%,"15,766",6,4,4,48
SMMT,USA,18.23,2025-05-07,45.80,1.77,3.98%,-,15.634,23.739,"3,859",81.94%,104.51%  (  -35.32%),20.51%,"112,721",9,5,5,65
SOUN,USA,8.83,2025-05-08,47.41,1.09,0.93%,41.60,20.103,26.527,"79,219",120.41%,121.63%  (  -9.14%),47.47%,"800,150",5,4,4,70
CEG,USA,215.45,2025-05-08,49.78,16.62,-8.66%,2.86,8.708,14.571,"20,809",86.23%,61.68%  (  -35.36%),46.20%,"200,925",4,4,4,0
PAA,USA,17.16,2025-05-09,34.15,0.78,-6.23%,0.24,2.336,9.436,"12,958",46.18%,41.34%  (  -4.09%),81.01%,"195,133",6,4,4,85
CRH,Ireland,89.03,2025-05-09,46.02,4.97,-3.23%,1.70,6.680,10.794,"5,559",56.62%,49.78%  (  -16.17%),65.54%,"55,584",,5,5,88
12:33:13 AM,,,,,,,,,,,,,,,,,,
